model,batch,seq,mode,config,prec,freq,measured_time,measured_energy,temp,gee_bro_time,gee_bro_energy,measured_freq,gee_bro_time_abs_pct_err,gee_bro_energy_abs_pct_err
gpt2model,32,512,prefill,gpt2,bf16,510,116.0033732435129,15.36685433385494,66.8274193548387,97.8671534546416,12.86408816774067,509.9999999999999,15.634217593655631,16.286782654016505
gpt2model,32,512,prefill,gpt2,bf16,600,103.76795159011591,14.54403451752897,65.32696046662346,86.71506362970372,12.06154631879476,599.9999999999999,16.43367504041249,17.068772738006302
gpt2model,32,512,prefill,gpt2,bf16,690,93.93660203945002,14.105115823053046,65.77767021619877,78.4880180119277,11.50800013255717,689.9999999999999,16.445755639568986,18.412579684395187
gpt2model,32,512,prefill,gpt2,bf16,780,85.06606727518061,13.765330273852552,66.81270252754376,72.39287745319126,11.10464192699006,780.0,14.898055391455669,19.32891034163203
gpt2model,32,512,prefill,gpt2,bf16,870,78.04346438681725,13.464081657718902,67.87085230969421,67.574313382258,10.840837714188988,869.9999999999998,13.414513421225893,19.483274167651974
gpt2model,32,512,prefill,gpt2,bf16,960,73.23779117229373,13.310540331145775,68.69228264408987,63.697520421356224,10.624625536821156,960.0000000000005,13.02643157068156,20.178856210966565
gpt2model,32,512,prefill,gpt2,bf16,1050,69.10636079938789,13.643887452132349,70.12264150943395,60.52848334017533,10.685907755110424,1050.0000000000002,12.412572967217422,21.679889308670848
gpt2model,32,512,prefill,gpt2,bf16,1140,65.66176185528272,14.730319407953848,72.6205997392438,57.84024871102937,11.097285780998035,1140.0000000000002,11.911823446790567,24.66364459818912
gpt2model,32,512,prefill,gpt2,bf16,1230,64.28048195626572,15.490499834049086,74.66709719082981,55.56570283230728,11.9156658884891,1185.6683887633194,13.55742654494669,23.07758938612347
gpt2model,32,512,prefill,gpt2,bf16,1320,64.26745098129457,15.495094280636264,75.05684754521961,53.60768517123039,13.187864981930916,1187.892441860465,16.586570102440763,14.890062989733599
gpt2model,32,512,prefill,gpt2,bf16,1410,64.27257167182954,15.600793445130591,75.4127906976744,51.92208983473903,14.743285828498138,1191.5406976744189,19.215789124093323,5.4965641308462025
gpt2model,8,128,prefill,gpt2,bf16,510,9.99740178134584,0.8326613051828837,62.94133254716981,13.61538543208396,0.9084473836695895,509.9999999999999,36.18923926303451,9.101669311997194
gpt2model,8,128,prefill,gpt2,bf16,600,9.932374606439302,0.8085945058117996,58.960742134982496,12.063894497895054,0.8517727843156649,599.9999999999999,21.460325208373206,5.339917374347718
gpt2model,8,128,prefill,gpt2,bf16,690,8.014802753985714,0.7213017301700156,58.77965003240439,10.919338913111718,0.8126819775619564,689.9999999999998,36.23964616823033,12.668796367700628
gpt2model,8,128,prefill,gpt2,bf16,780,9.959501599123378,0.8186892636501029,58.12997213073221,10.071376291940902,0.7841972764505323,779.9999999999999,1.1232960977421957,4.213074328810547
gpt2model,8,128,prefill,gpt2,bf16,870,7.898092616268278,0.7254466314199762,58.69250078443677,9.401012388025432,0.7655677207606756,869.9999999999998,19.02889526341436,5.530536307290731
gpt2model,8,128,prefill,gpt2,bf16,960,7.9347347369993235,0.7328550885462993,59.309042729380586,8.861668711011966,0.7502990608847375,960.0000000000002,11.681978096764713,2.3802758022790402
gpt2model,8,128,prefill,gpt2,bf16,1050,8.000260548816549,0.7602224967110507,59.88987341772152,8.420788806102482,0.7546267419566041,1050.0000000000002,5.256432021431367,0.7360680299064457
gpt2model,8,128,prefill,gpt2,bf16,1140,7.893670793709894,0.824756335979318,61.13350958360873,8.046798664204045,0.7836777937251959,1140.0000000000002,1.939881640569196,4.980688290844753
gpt2model,8,128,prefill,gpt2,bf16,1230,7.801352736945143,0.8989813862266784,62.51184210526316,7.730361353742038,0.841470873017194,1230.0000000000002,0.9099881212511856,6.397297440259027
gpt2model,8,128,prefill,gpt2,bf16,1320,7.820931748498844,1.020013576346168,64.04382470119522,7.457959795125691,0.931312136764302,1320.0,4.6410321051941406,8.696103820461582
