model,batch,seq,mode,config,prec,freq,measured_time,measured_energy,temp,gee_time,gee_energy,measured_freq,gee_time_abs_pct_err,gee_energy_abs_pct_err
gpt2model,8,128,prefill,gpt2,bf16,510,9.99740178134584,0.8326613051828837,62.94133254716981,14.71012714903271,0.9943504021292726,509.9999999999999,47.13950155009623,19.418351247975416
gpt2model,8,128,prefill,gpt2,bf16,600,9.932374606439302,0.8085945058117996,58.960742134982496,12.78520240529874,0.9074613653427336,599.9999999999999,28.72251512754975,12.227001150802435
gpt2model,8,128,prefill,gpt2,bf16,690,8.014802753985714,0.7213017301700156,58.77965003240439,11.362092278404347,0.8467213928621868,689.9999999999998,41.76384157119831,17.38796088325047
gpt2model,8,128,prefill,gpt2,bf16,780,9.959501599123378,0.8186892636501029,58.12997213073221,10.332361895849273,0.8033984111415817,779.9999999999999,3.7437646152766657,1.8677235903091365
gpt2model,8,128,prefill,gpt2,bf16,870,7.898092616268278,0.7254466314199762,58.69250078443677,9.51644564889054,0.7742357756625634,869.9999999999998,20.490428654746616,6.725394002738448
gpt2model,8,128,prefill,gpt2,bf16,960,7.9347347369993235,0.7328550885462993,59.309042729380586,8.861668711011966,0.7502990608847375,960.0000000000002,11.681978096764713,2.3802758022790402
gpt2model,8,128,prefill,gpt2,bf16,1050,8.000260548816549,0.7602224967110507,59.88987341772152,8.331521680218385,0.7453574439892794,1050.0000000000002,4.140629288015362,1.955355542105364
gpt2model,8,128,prefill,gpt2,bf16,1140,7.893670793709894,0.824756335979318,61.13350958360873,7.883230478896639,0.7653195240624369,1140.0000000000002,0.132261847321716,7.206590519405427
gpt2model,8,128,prefill,gpt2,bf16,1230,7.801352736945143,0.8989813862266784,62.51184210526316,7.5021896376295425,0.8101578195527803,1230.0000000000002,3.8347592962800277,9.880467831121614
gpt2model,8,128,prefill,gpt2,bf16,1320,7.820931748498844,1.020013576346168,64.04382470119522,7.172386080451398,0.8863035767983278,1320.0,8.292434826220399,13.108649007085587
gpt2model,8,128,prefill,gpt2,bf16,1410,9.905381416874365,1.3804120673202456,65.61711366538952,6.886790174127753,0.9808269723979512,1410.0,30.47425551533306,28.946798161363326
gpt2model,32,512,prefill,gpt2,bf16,510,116.0033732435129,15.36685433385494,66.8274193548387,89.99817586620719,11.6476574991956,509.9999999999999,22.41762170373779,24.20272069909275
gpt2model,32,512,prefill,gpt2,bf16,600,103.76795159011591,14.54403451752897,65.32696046662346,81.53030877801406,11.272968777261916,599.9999999999999,21.430164584862084,22.49077266919749
gpt2model,32,512,prefill,gpt2,bf16,690,93.93660203945002,14.105115823053046,65.77767021619877,75.30551460682642,11.02598420256184,689.9999999999999,19.8336825349497,21.829892495166543
gpt2model,32,512,prefill,gpt2,bf16,780,85.06606727518061,13.765330273852552,66.81270252754376,70.51691043420306,10.83274491037508,780.0,17.103361313169003,21.304140947841702
gpt2model,32,512,prefill,gpt2,bf16,870,78.04346438681725,13.464081657718902,67.87085230969421,66.74459023066751,10.71809306642469,869.9999999999998,14.47766862340659,20.394919320174715
gpt2model,32,512,prefill,gpt2,bf16,960,73.23779117229373,13.310540331145775,68.69228264408987,63.697520421356224,10.624625536821156,960.0000000000005,13.02643157068156,20.178856210966565
