dataset,feature,module,count,mean,std,p05,p50,p95,max
FP32 GEMM,a_dram_start_full_capacity,dram,5056,0.9562633901257459,0.11655318660564191,0.6723618368968362,1.0,1.0,1.0
FP32 GEMM,a_dram_start_last_wave,dram,5056,0.9846604266390154,0.06138644343930934,0.9070615324891584,1.0,1.0,1.0
FP32 GEMM,a_l2_start_full_capacity,l2,5056,0.5278792920909839,0.24915689537790456,0.2826171875,0.4521875,1.0,1.0
FP32 GEMM,a_l2_start_last_wave,l2,5056,0.584001524755622,0.1518329945305666,0.3499261104699337,0.5607977696761741,1.0,1.0
FP32 GEMM,a_smem_start_full_capacity,smem,5056,0.0,0.0,0.0,0.0,0.0,0.0
FP32 GEMM,a_smem_start_last_wave,smem,5056,0.0,0.0,0.0,0.0,0.0,0.0
FP32 GEMM,a_math_start_full_capacity,math,5056,0.0,0.0,0.0,0.0,0.0,0.0
FP32 GEMM,a_math_start_last_wave,math,5056,0.0,0.0,0.0,0.0,0.0,0.0
FP32 GEMM,a_dram_work_full_capacity,dram,5056,0.25956799531348507,0.26279446695280284,0.05613005869313055,0.156550516798964,0.8577045304129717,0.9932156566929592
FP32 GEMM,a_dram_work_last_wave,dram,5056,0.2665725270154824,0.29992342413321993,0.0562620656370656,0.112253249879634,0.9251984126984129,0.9898478606187326
FP32 GEMM,a_l2_work_full_capacity,l2,5056,0.1371833619663283,0.15527584527004384,0.0315516409266409,0.0833976833976834,0.460387323943662,0.9872294663261192
FP32 GEMM,a_l2_work_last_wave,l2,5056,0.1523639546113811,0.17032609260493428,0.0315516409266409,0.062951372171401,0.5188492063492064,0.8634920634920634
FP32 GEMM,a_smem_work_full_capacity,smem,5056,0.21418252035651286,0.2681847921110005,0.0855310049893086,0.0926640926640926,0.9295774647887324,0.9295774647887324
FP32 GEMM,a_smem_work_last_wave_busy,smem,5056,0.24825268835376468,0.2956138344046543,0.0926640926640926,0.1116995666827154,0.9206349206349206,0.9206349206349206
FP32 GEMM,a_smem_work_last_wave_lazy,smem,5056,0.23875915428050867,0.3007274196494364,0.0559845559845559,0.1116995666827154,0.9206349206349206,0.9206349206349206
FP32 GEMM,a_smem_work_last_wave,smem,5056,0.24257092073824002,0.29865371012382574,0.0627770627770627,0.1116995666827154,0.9206349206349204,0.9206349206349208
FP32 GEMM,a_math_work_full_capacity,math,5056,0.9116155441330095,0.1683197008163635,0.5633802816901409,0.9884169884169884,0.9884169884169884,0.9884169884169884
FP32 GEMM,a_math_work_last_wave_busy,math,5056,0.9213874288934379,0.13221266849665161,0.6349206349206349,0.9860375541646604,0.9884169884169884,0.9884169884169884
